44. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 11, ARS-UCD1.2, whole genome shotgun sequence
52. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 7, ARS-UCD1.2, whole genome shotgun sequence
76. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 5, ARS-UCD1.2, whole genome shotgun sequence
161. Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 22, ARS-UCD1.2, whole genome shotgun sequence
219. Bos taurus interleukin 6 (IL6), mRNA
14966. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X6, mRNA
14967. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X5, mRNA
14968. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X4, mRNA
14969. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X3, mRNA
14970. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X2, mRNA
14971. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X1, mRNA
14972. PREDICTED: Bos taurus interleukin 23 subunit alpha (IL23A), transcript variant X1, mRNA
14973. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 3 (IRAK3), transcript variant X2, mRNA
14974. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 3 (IRAK3), transcript variant X1, mRNA
14975. PREDICTED: Bos taurus interleukin 23 receptor (IL23R), transcript variant X3, mRNA
14976. PREDICTED: Bos taurus interleukin 23 receptor (IL23R), transcript variant X2, mRNA
14977. PREDICTED: Bos taurus interleukin 23 receptor (IL23R), transcript variant X1, mRNA
14978. PREDICTED: Bos taurus interleukin 12 receptor subunit beta 2 (IL12RB2), transcript variant X4, mRNA
14979. PREDICTED: Bos taurus interleukin 12 receptor subunit beta 2 (IL12RB2), transcript variant X3, mRNA
14980. PREDICTED: Bos taurus interleukin 12 receptor subunit beta 2 (IL12RB2), transcript variant X2, mRNA
14981. PREDICTED: Bos taurus interleukin 12 receptor subunit beta 2 (IL12RB2), transcript variant X1, mRNA
14982. PREDICTED: Bos taurus interleukin 9 receptor (IL9R), transcript variant X6, misc_RNA
14983. PREDICTED: Bos taurus interleukin 21 receptor (IL21R), transcript variant X5, mRNA
14984. PREDICTED: Bos taurus interleukin 21 receptor (IL21R), transcript variant X4, mRNA
14985. PREDICTED: Bos taurus interleukin 21 receptor (IL21R), transcript variant X3, mRNA
14986. PREDICTED: Bos taurus interleukin 21 receptor (IL21R), transcript variant X2, mRNA
14987. PREDICTED: Bos taurus interleukin 21 receptor (IL21R), transcript variant X1, mRNA
14988. PREDICTED: Bos taurus interleukin 27 (IL27), transcript variant X2, mRNA
14989. PREDICTED: Bos taurus interleukin 27 (IL27), transcript variant X1, mRNA
14990. PREDICTED: Bos taurus interleukin 17 receptor D (IL17RD), transcript variant X2, mRNA
14991. PREDICTED: Bos taurus interleukin 17 receptor D (IL17RD), transcript variant X1, mRNA
14992. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 2 (IRAK2), transcript variant X2, mRNA
14993. PREDICTED: Bos taurus interleukin 1 receptor associated kinase 2 (IRAK2), transcript variant X1, mRNA
14994. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X9, mRNA
14995. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X8, mRNA
14996. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X7, mRNA
14997. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X6, mRNA
14998. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X5, mRNA
14999. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X4, mRNA
15000. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X3, mRNA
15001. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X2, mRNA
15002. PREDICTED: Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X1, mRNA
15003. PREDICTED: Bos taurus interleukin 16 (IL16), transcript variant X6, mRNA
15004. PREDICTED: Bos taurus interleukin 16 (IL16), transcript variant X5, mRNA
15005. PREDICTED: Bos taurus interleukin 16 (IL16), transcript variant X4, mRNA
15006. PREDICTED: Bos taurus interleukin 16 (IL16), transcript variant X3, mRNA
15007. PREDICTED: Bos taurus interleukin 16 (IL16), transcript variant X2, mRNA
15008. PREDICTED: Bos taurus interleukin 16 (IL16), transcript variant X1, mRNA
15009. PREDICTED: Bos taurus interleukin 31 receptor A (IL31RA), transcript variant X1, mRNA
15010. PREDICTED: Bos taurus interleukin 7 receptor (IL7R), transcript variant X2, mRNA
15011. PREDICTED: Bos taurus interleukin 7 receptor (IL7R), transcript variant X1, mRNA
15012. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X12, mRNA
15013. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X11, mRNA
15014. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X10, mRNA
15015. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X9, mRNA
15016. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X8, mRNA
15017. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X7, mRNA
15018. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X6, mRNA
15019. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X5, mRNA
15020. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X4, mRNA
15021. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X3, mRNA
15022. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X2, mRNA
15023. PREDICTED: Bos taurus interleukin 34 (IL34), transcript variant X1, mRNA
15024. PREDICTED: Bos taurus interleukin 15 (IL15), transcript variant X5, mRNA
15025. PREDICTED: Bos taurus interleukin 15 (IL15), transcript variant X4, mRNA
15026. PREDICTED: Bos taurus interleukin 15 (IL15), transcript variant X3, mRNA
15027. PREDICTED: Bos taurus interleukin 15 (IL15), transcript variant X2, mRNA
15028. PREDICTED: Bos taurus interleukin 15 (IL15), transcript variant X1, mRNA
15029. PREDICTED: Bos taurus LIF, interleukin 6 family cytokine (LIF), transcript variant X3, mRNA
15030. PREDICTED: Bos taurus LIF, interleukin 6 family cytokine (LIF), transcript variant X2, mRNA
15031. PREDICTED: Bos taurus LIF, interleukin 6 family cytokine (LIF), transcript variant X1, mRNA
15032. PREDICTED: Bos taurus interleukin 2 (IL2), transcript variant X1, mRNA
15033. PREDICTED: Bos taurus interleukin 10 receptor subunit alpha (IL10RA), transcript variant X2, mRNA
15034. PREDICTED: Bos taurus interleukin 10 receptor subunit alpha (IL10RA), transcript variant X1, mRNA
15035. PREDICTED: Bos taurus interleukin 18 (IL18), transcript variant X1, mRNA
15036. PREDICTED: Bos taurus interleukin 7 (IL7), transcript variant X1, mRNA
15037. PREDICTED: Bos taurus interleukin 2 receptor subunit alpha (IL2RA), transcript variant X2, mRNA
15038. PREDICTED: Bos taurus interleukin 2 receptor subunit alpha (IL2RA), transcript variant X1, mRNA
15039. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X12, misc_RNA
15040. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X11, misc_RNA
15041. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X10, misc_RNA
15042. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X9, misc_RNA
15043. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X5, misc_RNA
15044. PREDICTED: Bos taurus interleukin 17D (IL17D), transcript variant X2, misc_RNA
15045. PREDICTED: Bos taurus interleukin 1 receptor like 2 (IL1RL2), transcript variant X6, mRNA
15046. PREDICTED: Bos taurus interleukin 1 receptor like 2 (IL1RL2), transcript variant X5, mRNA
15047. PREDICTED: Bos taurus interleukin 1 receptor like 2 (IL1RL2), transcript variant X4, mRNA
15048. PREDICTED: Bos taurus interleukin 1 receptor like 2 (IL1RL2), transcript variant X3, mRNA
15049. PREDICTED: Bos taurus interleukin 1 receptor like 2 (IL1RL2), transcript variant X2, mRNA
15050. PREDICTED: Bos taurus interleukin 1 receptor like 2 (IL1RL2), transcript variant X1, mRNA
15051. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X10, mRNA
15052. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X9, mRNA
15053. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X8, mRNA
15054. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X7, mRNA
15055. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X6, mRNA
15056. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X5, mRNA
15057. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X4, mRNA
15058. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X3, mRNA
15059. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X2, mRNA
15060. PREDICTED: Bos taurus interleukin 1 receptor like 1 (IL1RL1), transcript variant X1, mRNA
15061. PREDICTED: Bos taurus interleukin 1 receptor type 2 (IL1R2), transcript variant X1, mRNA
15062. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X11, mRNA
15063. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X10, mRNA
15064. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X9, mRNA
15065. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X8, mRNA
15066. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X7, mRNA
15067. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X6, mRNA
15068. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X5, mRNA
15069. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X4, mRNA
15070. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X3, mRNA
15071. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X2, mRNA
15072. PREDICTED: Bos taurus interleukin 1 receptor type 1 (IL1R1), transcript variant X1, mRNA
15073. PREDICTED: Bos taurus interleukin 1 receptor antagonist (IL1RN), transcript variant X2, mRNA
15074. PREDICTED: Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X5, mRNA
15075. PREDICTED: Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X4, mRNA
15076. PREDICTED: Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X2, mRNA
15077. PREDICTED: Bos taurus interleukin 10 receptor subunit beta (IL10RB), transcript variant X1, mRNA
15078. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X9, mRNA
15079. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X8, mRNA
15080. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X7, mRNA
15081. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X5, mRNA
15082. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X4, mRNA
15083. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X3, mRNA
15084. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X2, mRNA
15085. PREDICTED: Bos taurus interleukin 1 receptor accessory protein (IL1RAP), transcript variant X1, mRNA
15086. PREDICTED: Bos taurus interleukin 1 receptor antagonist (IL1RN), transcript variant X1, mRNA
15849. Bos taurus isolate PIL8-C interleukin 8 (IL8) gene, promoter region and 5' UTR
15850. Bos taurus isolate PIL8-B interleukin 8 (IL8) gene, promoter region and 5' UTR
16669. Bos taurus interleukin 3 receptor, alpha (IL3RA) gene, partial sequence
18118. Bos taurus interleukin 3 (IL3) gene, partial sequence
53326. 1JEJ29A10 Bos taurus Jejunum #1 library Bos taurus cDNA similar to interleukin 2/BCM fusion protein, mRNA sequence
53968. PREDICTED: Bos indicus x Bos taurus interleukin 2 receptor subunit gamma (IL2RG), transcript variant X3, mRNA
53969. PREDICTED: Bos indicus x Bos taurus interleukin 2 receptor subunit gamma (IL2RG), transcript variant X2, mRNA
53970. PREDICTED: Bos indicus x Bos taurus interleukin 2 receptor subunit gamma (IL2RG), transcript variant X1, mRNA
53971. PREDICTED: Bos indicus x Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), transcript variant X3, mRNA
53972. PREDICTED: Bos indicus x Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), transcript variant X2, mRNA
53973. PREDICTED: Bos indicus x Bos taurus interleukin 13 receptor subunit alpha 2 (IL13RA2), transcript variant X1, mRNA
53974. PREDICTED: Bos indicus x Bos taurus interleukin 3 receptor subunit alpha (IL3RA), transcript variant X2, mRNA
53975. PREDICTED: Bos indicus x Bos taurus interleukin 3 receptor subunit alpha (IL3RA), transcript variant X1, mRNA
53976. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein like 1 (IL1RAPL1), mRNA
53977. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X3, mRNA
53978. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X2, mRNA
53979. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 1 (IRAK1), transcript variant X1, mRNA
53980. PREDICTED: Bos indicus x Bos taurus interleukin 13 receptor subunit alpha 1 (IL13RA1), transcript variant X2, mRNA
53981. PREDICTED: Bos indicus x Bos taurus interleukin 13 receptor subunit alpha 1 (IL13RA1), transcript variant X1, mRNA
53982. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X2, mRNA
53983. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor accessory protein like 2 (IL1RAPL2), transcript variant X1, mRNA
53984. PREDICTED: Bos indicus x Bos taurus interleukin 22 receptor subunit alpha 2 (IL22RA2), mRNA
53985. PREDICTED: Bos indicus x Bos taurus interleukin 20 receptor subunit alpha (IL20RA), mRNA
53986. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 1 binding protein 1 (IRAK1BP1), mRNA
53987. PREDICTED: Bos indicus x Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), transcript variant X3, mRNA
53988. PREDICTED: Bos indicus x Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), transcript variant X2, mRNA
53989. PREDICTED: Bos indicus x Bos taurus nuclear factor, interleukin 3 regulated (NFIL3), transcript variant X1, mRNA
53990. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X7, mRNA
53991. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X6, mRNA
53992. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X5, mRNA
53993. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X4, mRNA
53994. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X3, mRNA
53995. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X2, mRNA
53996. PREDICTED: Bos indicus x Bos taurus interleukin 11 receptor subunit alpha (IL11RA), transcript variant X1, mRNA
53997. PREDICTED: Bos indicus x Bos taurus interleukin 33 (IL33), transcript variant X2, mRNA
53998. PREDICTED: Bos indicus x Bos taurus interleukin 33 (IL33), transcript variant X1, mRNA
53999. PREDICTED: Bos indicus x Bos taurus interleukin 5 (IL5), mRNA
54000. PREDICTED: Bos indicus x Bos taurus interleukin 9 (IL9), mRNA
54001. PREDICTED: Bos indicus x Bos taurus interleukin 4 (IL4), mRNA
54002. PREDICTED: Bos indicus x Bos taurus interleukin 12 receptor subunit beta 1 (IL12RB1), mRNA
54003. PREDICTED: Bos indicus x Bos taurus interleukin 27 receptor subunit alpha (IL27RA), transcript variant X3, mRNA
54004. PREDICTED: Bos indicus x Bos taurus interleukin 27 receptor subunit alpha (IL27RA), transcript variant X2, mRNA
54005. PREDICTED: Bos indicus x Bos taurus interleukin 27 receptor subunit alpha (IL27RA), transcript variant X1, mRNA
54006. PREDICTED: Bos indicus x Bos taurus interleukin 13 (IL13), mRNA
54007. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X9, mRNA
54008. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X8, mRNA
54009. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X7, mRNA
54010. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X6, mRNA
54011. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X5, mRNA
54012. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X4, mRNA
54013. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X3, mRNA
54014. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X2, mRNA
54015. PREDICTED: Bos indicus x Bos taurus interleukin 17B (IL17B), transcript variant X1, mRNA
54016. PREDICTED: Bos indicus x Bos taurus interleukin 12B (IL12B), mRNA
54017. PREDICTED: Bos indicus x Bos taurus interleukin 22 (IL22), transcript variant X2, mRNA
54018. PREDICTED: Bos indicus x Bos taurus interleukin 22 (IL22), transcript variant X1, mRNA
54019. PREDICTED: Bos indicus x Bos taurus interleukin 26 (IL26), mRNA
54020. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor E like (IL17REL), mRNA
54021. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X8, mRNA
54022. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X7, mRNA
54023. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X6, mRNA
54024. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X5, mRNA
54025. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X4, mRNA
54026. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X2, mRNA
54027. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 4 (IRAK4), transcript variant X1, mRNA
54028. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 3 (IRAK3), transcript variant X2, mRNA
54029. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 3 (IRAK3), transcript variant X1, mRNA
54030. PREDICTED: Bos indicus x Bos taurus interleukin 23 subunit alpha (IL23A), transcript variant X2, mRNA
54031. PREDICTED: Bos indicus x Bos taurus interleukin 23 subunit alpha (IL23A), transcript variant X1, mRNA
54032. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor A (IL17RA), transcript variant X3, mRNA
54033. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor A (IL17RA), transcript variant X2, mRNA
54034. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor A (IL17RA), transcript variant X1, mRNA
54035. PREDICTED: Bos indicus x Bos taurus interleukin 6 (IL6), mRNA
54036. PREDICTED: Bos indicus x Bos taurus interleukin 23 receptor (IL23R), mRNA
54037. PREDICTED: Bos indicus x Bos taurus interleukin 12 receptor subunit beta 2 (IL12RB2), mRNA
54038. PREDICTED: Bos indicus x Bos taurus interleukin 6 receptor (IL6R), mRNA
54039. PREDICTED: Bos indicus x Bos taurus interleukin 21 receptor (IL21R), mRNA
54040. PREDICTED: Bos indicus x Bos taurus interleukin 9 receptor (IL9R), transcript variant X4, mRNA
54041. PREDICTED: Bos indicus x Bos taurus interleukin 9 receptor (IL9R), transcript variant X3, mRNA
54042. PREDICTED: Bos indicus x Bos taurus interleukin 9 receptor (IL9R), transcript variant X2, mRNA
54043. PREDICTED: Bos indicus x Bos taurus interleukin 9 receptor (IL9R), transcript variant X1, mRNA
54044. PREDICTED: Bos indicus x Bos taurus interleukin 32 (IL32), transcript variant X3, mRNA
54045. PREDICTED: Bos indicus x Bos taurus interleukin 32 (IL32), transcript variant X2, mRNA
54046. PREDICTED: Bos indicus x Bos taurus interleukin 32 (IL32), transcript variant X1, mRNA
54047. PREDICTED: Bos indicus x Bos taurus interleukin 27 (IL27), mRNA
54048. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X9, mRNA
54049. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X8, mRNA
54050. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X7, mRNA
54051. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X6, mRNA
54052. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X5, mRNA
54053. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X4, mRNA
54054. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X3, mRNA
54055. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X2, mRNA
54056. PREDICTED: Bos indicus x Bos taurus interleukin 4 receptor (IL4R), transcript variant X1, mRNA
54057. PREDICTED: Bos indicus x Bos taurus interleukin 17F (IL17F), mRNA
54058. PREDICTED: Bos indicus x Bos taurus interleukin 17A (IL17A), mRNA
54059. PREDICTED: Bos indicus x Bos taurus interleukin 5 receptor subunit alpha (IL5RA), mRNA
54060. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 2 (IRAK2), transcript variant X2, mRNA
54061. PREDICTED: Bos indicus x Bos taurus interleukin 1 receptor associated kinase 2 (IRAK2), transcript variant X1, mRNA
54062. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor B (IL17RB), transcript variant X5, mRNA
54063. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor B (IL17RB), transcript variant X4, mRNA
54064. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor B (IL17RB), transcript variant X3, mRNA
54065. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor B (IL17RB), transcript variant X2, mRNA
54066. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor B (IL17RB), transcript variant X1, mRNA
54067. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor D (IL17RD), transcript variant X2, mRNA
54068. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor D (IL17RD), transcript variant X1, mRNA
54069. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X3, mRNA
54070. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X2, mRNA
54071. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor E (IL17RE), transcript variant X1, mRNA
54072. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X10, mRNA
54073. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X9, mRNA
54074. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X8, mRNA
54075. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X7, mRNA
54076. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X6, mRNA
54077. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X5, mRNA
54078. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X4, mRNA
54079. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X3, mRNA
54080. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X2, mRNA
54081. PREDICTED: Bos indicus x Bos taurus interleukin 17 receptor C (IL17RC), transcript variant X1, mRNA
54082. PREDICTED: Bos indicus x Bos taurus interleukin 16 (IL16), transcript variant X2, mRNA
54083. PREDICTED: Bos indicus x Bos taurus interleukin 16 (IL16), transcript variant X1, mRNA
54084. PREDICTED: Bos indicus x Bos taurus interleukin 6 signal transducer (IL6ST), transcript variant X2, mRNA
54085. PREDICTED: Bos indicus x Bos taurus interleukin 6 signal transducer (IL6ST), transcript variant X1, mRNA
54086. PREDICTED: Bos indicus x Bos taurus interleukin 31 receptor A (IL31RA), transcript variant X2, mRNA
54087. PREDICTED: Bos indicus x Bos taurus interleukin 31 receptor A (IL31RA), transcript variant X1, mRNA
54088. PREDICTED: Bos indicus x Bos taurus interleukin 7 receptor (IL7R), mRNA
54089. PREDICTED: Bos indicus x Bos taurus interleukin 22 receptor subunit alpha 1 (IL22RA1), mRNA
54090. PREDICTED: Bos indicus x Bos taurus interleukin 4 induced 1 (IL4I1), mRNA
54091. PREDICTED: Bos indicus x Bos taurus interleukin 11 (IL11), mRNA
54092. PREDICTED: Bos indicus x Bos taurus interleukin 17C (IL17C), partial mRNA
54093. PREDICTED: Bos indicus x Bos taurus interleukin 2 (IL2), mRNA
54094. PREDICTED: Bos indicus x Bos taurus interleukin 15 (IL15), transcript variant X4, mRNA
54095. PREDICTED: Bos indicus x Bos taurus interleukin 15 (IL15), transcript variant X3, mRNA
54096. PREDICTED: Bos indicus x Bos taurus LIF, interleukin 6 family cytokine (LIF), mRNA
54097. PREDICTED: Bos indicus x Bos taurus interleukin 21 (IL21), mRNA
54098. PREDICTED: Bos indicus x Bos taurus interleukin 24 (IL24), mRNA
54099. PREDICTED: Bos indicus x Bos taurus interleukin 20 (IL20), mRNA
54100. PREDICTED: Bos indicus x Bos taurus interleukin 19 (IL19), transcript variant X2, mRNA
54101. PREDICTED: Bos indicus x Bos taurus interleukin 19 (IL19), transcript variant X1, mRNA
54102. PREDICTED: Bos indicus x Bos taurus interleukin 10 (IL10), mRNA
54103. PREDICTED: Bos indicus x Bos taurus interleukin 18 (IL18), transcript variant X2, mRNA
54104. PREDICTED: Bos indicus x Bos taurus interleukin 18 (IL18), transcript variant X1, mRNA
54105. PREDICTED: Bos indicus x Bos taurus interleukin 10 receptor subunit alpha (IL10RA), mRNA
54106. PREDICTED: Bos indicus x Bos taurus interleukin 18 binding protein (IL18BP), mRNA
54107. PREDICTED: Bos indicus x Bos taurus interleukin 7 (IL7), mRNA
54108. PREDICTED: Bos indicus x Bos taurus interleukin 2 receptor subunit alpha (IL2RA), mRNA
54109. PREDICTED: Bos indicus x Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X6, mRNA
54110. PREDICTED: Bos indicus x Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X5, mRNA
54111. PREDICTED: Bos indicus x Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X4, mRNA
54112. PREDICTED: Bos indicus x Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X3, mRNA
54113. PREDICTED: Bos indicus x Bos taurus interleukin 15 receptor subunit alpha (IL15RA), transcript variant X2, mRNA
